Name	Eads	Site_Type	Ag	Au	Cu	Ir	Pd	Pt	Rh	Ru	AWF	AEL	AELA	TotEl	AValEl	Avg_Mass	Avg_Adsorption_111	Avg_Adsorption_100	Avg_Charge	ADBND	ACN	CN1	CN2	CN3	CN4
8_18_28_56	-1.75563	2	0	0	1	0	0	1	0	0	5.29	2.09	1.685	11	5.5	129.315	-0.75	-0.9	0.02084	-2.625847	6	6	6	0	0
8_28_58_64	-1.7812	1	0	0	0	0	0	0	1	0	4.98	2.28	1.14	9	9	102.91	-1.1	-1.3	0.0108	-3.122531	8	8	0	0	0
8_28_64	-2.23062	1	0	0	0	0	0	0	1	0	4.98	2.28	1.14	9	9	102.91	-1.1	-1.3	0.0108	-3.122531	7	7	0	0	0
8_56_65	-2.12364	1	0	0	0	0	0	0	1	0	4.98	2.28	1.14	9	9	102.91	-1.1	-1.3	-0.044156	-2.638533	8	8	0	0	0
8_58_64	-2.01892	3	0	0	0	0	0	1	2	0	5.297	2.28	1.47	28	9.333	133.633	-1.067	-1.267	0.087665	-3.182815	8	8	8	8	0
8_9_58	-1.95646	2	0	0	0	0	0	2	0	0	5.93	2.28	2.13	20	10	195.08	-1	-1.2	0.26438	-3.2092	6.5	6	7	0	0
8_9_65	-2.12861	1	0	0	0	0	0	0	1	0	4.98	2.28	1.14	9	9	102.91	-1.1	-1.3	-0.044156	-2.638533	8	8	0	0	0
9_38_46	-2.25361	2	0	0	0	1	1	0	0	0	5.445	2.2	1.06	19	9.5	149.32	-1.05	-1.25	0.08037	-3.059918	7	6	8	0	0
9_38_46_57	-2.58645	1	0	0	0	1	0	0	0	0	5.67	2.2	1.56	9	9	192.22	-1.2	-1.4	0.132253	-3.55091	9	9	0	0	0
9_38_57	-2.53376	2	0	0	0	1	0	1	0	0	5.8	2.24	1.845	19	9.5	193.65	-1.1	-1.3	0.211439	-3.182602	7.5	9	6	0	0
9_46_65	-2.08843	3	1	0	0	0	1	0	1	0	4.82	2.137	1	20	6.667	105.733	-0.733	-0.9	-0.044652	-2.885753	7	8	6	7	0
